98,14,building_total_floor,楼栋总楼层,int,Long,buildingTotalFloor,0,0,1,1,1,1,1,EQ,input,"",3,admin,2025-07-12 11:22:03,"",2025-07-12 11:24:07
99,14,building_type,楼栋类型,int,Long,buildingType,0,0,1,1,1,1,1,EQ,select,building_type,4,admin,2025-07-12 11:22:03,"",2025-07-12 11:24:07
100,14,create_time,创建时间,datetime,Date,createTime,0,0,0,1,,1,1,BETWEEN,datetime,"",5,admin,2025-07-12 11:22:03,"",2025-07-12 11:24:07
101,15,room_id,房间ID,int,Long,roomId,1,1,0,1,,,,EQ,input,"",1,admin,2025-07-12 12:01:52,"",2025-07-12 12:07:47
102,15,room_name,房间名字,varchar(255),String,roomName,0,0,1,1,1,1,1,LIKE,input,"",2,admin,2025-07-12 12:01:52,"",2025-07-12 12:07:47
103,15,room_type,房间类型,int,Long,roomType,0,0,1,1,1,1,1,EQ,select,room_type,3,admin,2025-07-12 12:01:52,"",2025-07-12 12:07:47
104,15,charge_name,负责人姓名,varchar(255),String,chargeName,0,0,1,1,1,1,1,LIKE,input,"",4,admin,2025-07-12 12:01:52,"",2025-07-12 12:07:47
105,15,charge_phone,负责人联系方式,varchar(255),String,chargePhone,0,0,1,1,1,1,1,LIKE,input,"",5,admin,2025-07-12 12:01:52,"",2025-07-12 12:07:47
106,15,charge_work_number,负责人工号,varchar(255),String,chargeWorkNumber,0,0,1,1,1,1,1,LIKE,input,"",6,admin,2025-07-12 12:01:52,"",2025-07-12 12:07:47
107,15,create_time,创建时间,datetime,Date,createTime,0,0,0,1,,1,1,BETWEEN,datetime,"",7,admin,2025-07-12 12:01:52,"",2025-07-12 12:07:47
108,16,team_id,团队ID,int,Long,teamId,1,1,0,1,,,,EQ,input,"",1,admin,2025-07-12 13:16:15,"",2025-07-12 13:17:30
109,16,team_name,团队名称,varchar(255),String,teamName,0,0,1,1,1,1,1,LIKE,input,"",2,admin,2025-07-12 13:16:15,"",2025-07-12 13:17:30
110,16,charge_name,负责人姓名,varchar(255),String,chargeName,0,0,1,1,1,1,1,LIKE,input,"",3,admin,2025-07-12 13:16:15,"",2025-07-12 13:17:30
111,16,charge_phone,负责人联系方式,varchar(255),String,chargePhone,0,0,1,1,1,1,1,LIKE,input,"",4,admin,2025-07-12 13:16:15,"",2025-07-12 13:17:30
112,16,admin_name,管理员姓名,varchar(255),String,adminName,0,0,1,1,1,1,1,LIKE,input,"",5,admin,2025-07-12 13:16:15,"",2025-07-12 13:17:30
113,16,admin_work_number,管理员工号,varchar(255),String,adminWorkNumber,0,0,1,1,1,1,1,LIKE,input,"",6,admin,2025-07-12 13:16:15,"",2025-07-12 13:17:30
114,16,admin_phone,管理员联系方式,varchar(255),String,adminPhone,0,0,1,1,1,1,1,LIKE,input,"",7,admin,2025-07-12 13:16:15,"",2025-07-12 13:17:30
115,16,create_time,创建时间,datetime,Date,createTime,0,0,0,1,,1,1,BETWEEN,datetime,"",8,admin,2025-07-12 13:16:15,"",2025-07-12 13:17:30
116,17,week_report_id,周报ID,int,Long,weekReportId,1,1,0,1,,,,EQ,input,"",1,admin,2025-07-17 06:25:53,"",2025-07-17 06:27:38
117,17,week_report_score,周报评分,double,Long,weekReportScore,0,0,1,1,1,1,1,EQ,input,"",2,admin,2025-07-17 06:25:53,"",2025-07-17 06:27:38
118,17,week_report_content,周报内容,longtext,String,weekReportContent,0,0,1,1,1,1,1,LIKE,editor,"",3,admin,2025-07-17 06:25:53,"",2025-07-17 06:27:38
119,17,create_time,创建时间,datetime,Date,createTime,0,0,0,1,,1,1,BETWEEN,datetime,"",4,admin,2025-07-17 06:25:53,"",2025-07-17 06:27:38
120,18,month_report_id,月报ID,int,Long,monthReportId,1,1,0,1,,,,EQ,input,"",1,admin,2025-07-17 09:28:43,"",2025-07-17 09:30:08
121,18,month_report_score,月报评分,double,Double,monthReportScore,0,0,1,1,1,1,1,EQ,input,"",2,admin,2025-07-17 09:28:43,"",2025-07-17 09:30:08
122,18,month_report_content,月报内容,longtext,String,monthReportContent,0,0,1,1,1,1,1,LIKE,input,"",3,admin,2025-07-17 09:28:43,"",2025-07-17 09:30:08
123,18,create_time,创建时间,datetime,Date,createTime,0,0,0,1,,1,1,BETWEEN,datetime,"",4,admin,2025-07-17 09:28:43,"",2025-07-17 09:30:08
