58,8,怃证就度料室,8,room_type,,default,N,0,admin,2025-07-12 12:05:44,"",,
59,9,财务处,9,room_type,,default,N,0,admin,2025-07-12 12:05:53,"",,
60,10,设备处,10,room_type,,default,N,0,admin,2025-07-12 12:06:04,"",,
61,0,计算机科学与技术,0,student_major,,default,N,0,admin,2025-07-18 13:10:45,"",,
62,1,软件工程,1,student_major,,default,N,0,admin,2025-07-18 13:10:53,"",,
63,2,大数据,2,student_major,,default,N,0,admin,2025-07-18 13:11:06,"",,
64,3,人工智能,3,student_major,,default,N,0,admin,2025-07-18 13:11:21,"",,
65,4,网络工程,4,student_major,,default,N,0,admin,2025-07-18 13:12:18,"",,
66,5,信息安全,5,student_major,,default,N,0,admin,2025-07-18 13:12:29,"",,
67,0,2020届,0,student_grade,,default,N,0,admin,2025-07-18 13:13:17,"",,
68,1,2021届,1,student_grade,,default,N,0,admin,2025-07-18 13:13:24,"",,
69,2,2022届,2,student_grade,,default,N,0,admin,2025-07-18 13:14:20,"",,
70,3,2023届,3,student_grade,,default,N,0,admin,2025-07-18 13:14:29,"",,
71,4,2024届,4,student_grade,,default,N,0,admin,2025-07-18 13:14:36,"",,
72,5,2025届,5,student_grade,,default,N,0,admin,2025-07-18 13:14:46,"",,
73,0,01班,0,student_class,,default,N,0,admin,2025-07-18 13:16:05,"",,
74,1,02班,1,student_class,,default,N,0,admin,2025-07-18 13:16:11,"",,
75,2,03班,2,student_class,,default,N,0,admin,2025-07-18 13:16:19,"",,
76,3,04班,3,student_class,,default,N,0,admin,2025-07-18 13:16:28,"",,
77,4,05班,4,student_class,,default,N,0,admin,2025-07-18 13:16:34,"",,
78,5,06班,5,student_class,,default,N,0,admin,2025-07-18 13:16:43,"",,
79,6,07班,6,student_class,,default,N,0,admin,2025-07-18 13:16:51,"",,
80,7,08班,7,student_class,,default,N,0,admin,2025-07-18 13:17:01,"",,
81,8,09班,8,student_class,,default,N,0,admin,2025-07-18 13:17:08,"",,
82,9,10班,9,student_class,,default,N,0,admin,2025-07-18 13:17:17,"",,
83,10,11班,10,student_class,,default,N,0,admin,2025-07-18 13:17:24,"",,
84,11,12班,11,student_class,,default,N,0,admin,2025-07-18 13:18:08,"",,
85,12,13班,12,student_class,,default,N,0,admin,2025-07-18 13:18:17,"",,
86,13,14班,13,student_class,,default,N,0,admin,2025-07-18 13:18:26,"",,
87,14,15班,14,student_class,,default,N,0,admin,2025-07-18 13:18:34,"",,
88,15,16班,15,student_class,,default,N,0,admin,2025-07-18 13:18:43,"",,
89,16,17班,16,student_class,,default,N,0,admin,2025-07-18 13:18:50,"",,
90,17,18班,17,student_class,,default,N,0,admin,2025-07-18 13:18:57,"",,
91,18,19班,18,student_class,,default,N,0,admin,2025-07-18 13:19:10,"",,
92,19,20班,19,student_class,,default,N,0,admin,2025-07-18 13:19:17,"",,
